,params,cv_0_loss,cv_0_best_epoch,cv_0_run_name,cv_0_r^2,cv_0_mse,cv_0_mae,cv_0_train_r^2,cv_0_train_mse,cv_0_train_mae,cv_1_loss,cv_1_best_epoch,cv_1_run_name,cv_1_r^2,cv_1_mse,cv_1_mae,cv_1_train_r^2,cv_1_train_mse,cv_1_train_mae
36,"{'lr': 0.00498579443082492, 'train_type': 'predictor_and_readout', 'weight_decay': 0.009124078401775952}",0.2994496822357178,16,abc,-0.0,0.299,0.455,-0.358,0.456,0.565,0.3367682099342346,16,abc,-0.002,0.337,0.476,-0.597,0.478,0.58
37,"{'lr': 0.001968431212642162, 'train_type': 'predictor_and_readout', 'weight_decay': 0.004149908949288119}",0.2996351420879364,32,abc,-0.001,0.3,0.454,-0.011,0.34,0.48,0.3357445299625397,35,abc,0.001,0.336,0.472,-0.004,0.301,0.458
38,"{'lr': 0.0006518051464699167, 'train_type': 'all_layers', 'weight_decay': 0.07747852025937416}",0.10518767684698105,175,abc,0.649,0.105,0.256,0.869,0.044,0.159,0.12095978111028671,177,abc,0.64,0.121,0.226,0.899,0.03,0.138
39,"{'lr': 0.00010285201194290977, 'train_type': 'predictor_and_readout', 'weight_decay': 0.012641736415203648}",0.0851869061589241,36,abc,0.716,0.085,0.228,0.861,0.047,0.161,0.11530093103647232,34,abc,0.657,0.115,0.234,0.885,0.034,0.143
40,"{'lr': 0.034461945101714936, 'train_type': 'predictor_and_readout', 'weight_decay': 0.023548905716789734}",0.23121486604213715,66,abc,0.228,0.231,0.4,0.152,0.285,0.414,0.3302132487297058,8,abc,0.017,0.33,0.464,-0.472,0.441,0.554
41,"{'lr': 0.00017416090004741285, 'train_type': 'all_layers', 'weight_decay': 0.0016838511508891884}",0.050699759274721146,127,abc,0.831,0.051,0.182,0.935,0.022,0.101,0.08265584707260132,237,abc,0.754,0.083,0.201,0.974,0.008,0.067
42,"{'lr': 0.0038537400758385226, 'train_type': 'only_predictor', 'weight_decay': 0.006519768190179951}",0.05873894691467285,110,abc,0.804,0.059,0.191,0.974,0.009,0.065,0.07355476915836334,69,abc,0.781,0.074,0.197,0.964,0.011,0.076
43,"{'lr': 0.0018857288075938127, 'train_type': 'all_layers', 'weight_decay': 6.046254836368193e-05}",0.0628541111946106,32,abc,0.79,0.063,0.206,0.926,0.025,0.116,0.07163450121879578,35,abc,0.787,0.072,0.191,0.961,0.012,0.085
44,"{'lr': 0.00013856262183533497, 'train_type': 'all_layers', 'weight_decay': 0.06890148590166947}",0.05097425729036331,175,abc,0.83,0.051,0.184,0.933,0.023,0.105,0.0788370817899704,835,abc,0.765,0.079,0.208,0.98,0.006,0.058
45,"{'lr': 0.00045506770190753613, 'train_type': 'all_layers', 'weight_decay': 0.0002471498304407578}",0.05628523603081703,70,abc,0.812,0.056,0.193,0.926,0.025,0.111,0.08202595263719559,97,abc,0.756,0.082,0.206,0.972,0.008,0.066
46,"{'lr': 0.007187330721999764, 'train_type': 'only_predictor', 'weight_decay': 0.016054077679556137}",0.06187357008457184,67,abc,0.793,0.062,0.196,0.931,0.023,0.117,0.08087782561779022,33,abc,0.759,0.081,0.211,0.898,0.03,0.139
47,"{'lr': 0.04942819060175049, 'train_type': 'only_predictor', 'weight_decay': 0.02764419078084984}",0.3537752330303192,17,abc,-0.181,0.354,0.491,-0.572,0.528,0.591,0.3732561469078064,2,abc,-0.111,0.373,0.502,-22072.675,6609.928,81.056
48,"{'lr': 0.0022957730030016966, 'train_type': 'only_predictor', 'weight_decay': 0.06400949935910778}",0.060917869210243225,42,abc,0.797,0.061,0.202,0.908,0.031,0.129,0.07937321811914444,74,abc,0.764,0.079,0.204,0.945,0.017,0.094
49,"{'lr': 0.000423722434173575, 'train_type': 'all_layers', 'weight_decay': 0.16818480959986282}",0.0488099567592144,91,abc,0.837,0.049,0.179,0.913,0.029,0.122,0.08188758045434952,91,abc,0.756,0.082,0.205,0.95,0.015,0.092
50,"{'lr': 0.0013671489030665355, 'train_type': 'predictor_and_readout', 'weight_decay': 0.009515066352372502}",0.05449363589286804,43,abc,0.818,0.054,0.187,0.927,0.025,0.108,0.07244893908500671,49,abc,0.784,0.072,0.189,0.968,0.009,0.071
51,"{'lr': 0.0011095675550157672, 'train_type': 'only_predictor', 'weight_decay': 0.00048487319701744774}",0.05347178876399994,46,abc,0.821,0.053,0.188,0.941,0.02,0.098,0.098112553358078,13,abc,0.708,0.098,0.226,0.851,0.045,0.173
52,"{'lr': 0.0009042048259035636, 'train_type': 'only_predictor', 'weight_decay': 0.00010319613541548832}",0.055871348828077316,50,abc,0.813,0.056,0.19,0.944,0.019,0.095,0.07623109221458435,114,abc,0.773,0.076,0.202,0.99,0.003,0.041
